Race Number,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track Type
18,Fort Worth,32,31,51,   Joey Gase,Red Rock Secured   (Rick Ware),Ford,318,running,0,0,0,Oval
18,Fort Worth,33,39,78,   B.J. McLeod,Axele.com   (B.J. McLeod),Chevrolet,318,running,0,0,0,Oval
18,Fort Worth,34,26,0,   Quin Houff,Permatex   (StarCom Racing),Chevrolet,295,crash,0,3,0,Oval
18,Fort Worth,35,30,13,   Ty Dillon,GEICO   (Germain Racing),Chevrolet,263,dvp,0,2,0,Oval
18,Fort Worth,36,38,66,   Timmy Hill,RoofClaim.com   (Carl Long),Toyota,254,electrical,0,0,0,Oval
18,Fort Worth,37,18,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,252,crash,0,7,0,Oval
18,Fort Worth,38,13,47,   Ricky Stenhouse Jr,Kroger / Tyson / Ball Park / NOS   (JTG-Daugherty Racing),Chevrolet,221,crash,0,1,0,Oval
18,Fort Worth,39,19,41,   Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,219,crash,0,1,0,Oval
18,Fort Worth,40,25,37,   Ryan Preece,Glad   (JTG-Daugherty Racing),Chevrolet,217,crash,0,1,0,Oval
19,Kansas,1,10,11,   Denny Hamlin,FedEx Freight   (Joe Gibbs),Toyota,267,running,57,56,5,Oval
19,Kansas,2,7,2,   Brad Keselowski,"Wabash National ""Thank You Truckers""   (Roger Penske)",Ford,267,running,30,51,1,Oval
19,Kansas,3,5,19,   Martin Truex Jr,Auto Owners Insurance   (Joe Gibbs),Toyota,267,running,44,45,0,Oval
19,Kansas,4,1,4,   Kevin Harvick,Busch Light Apple   (Stewart Haas Racing),Ford,267,running,9,42,0,Oval
19,Kansas,5,21,20,   Erik Jones,Reser's Fine Foods   (Joe Gibbs),Toyota,267,running,0,37,0,Oval
19,Kansas,6,3,10,   Aric Almirola,Smithfield Hometown Original   (Stewart Haas Racing),Ford,267,running,0,42,0,Oval
19,Kansas,7,24,41,   Cole Custer,HaasTooling.com   (Stewart Haas Racing),Ford,267,running,0,30,0,Oval
19,Kansas,8,6,88,   Alex Bowman,ChevyGoods.com / Adam's Polishes   (Rick Hendrick),Chevrolet,267,running,6,31,0,Oval
19,Kansas,9,9,1,   Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,267,running,0,28,0,Oval
19,Kansas,10,15,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,267,running,27,27,0,Oval
19,Kansas,11,8,18,   Kyle Busch,M&M's Fudge Brownie   (Joe Gibbs),Toyota,267,running,52,42,1,Oval
19,Kansas,12,11,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,267,running,0,26,0,Oval
19,Kansas,13,23,8,   Tyler Reddick,I Am Second   (Richard Childress),Chevrolet,267,running,0,29,0,Oval
19,Kansas,14,19,14,   Clint Bowyer,One Cure   (Stewart Haas Racing),Ford,267,running,0,23,0,Oval
19,Kansas,15,36,13,   Ty Dillon,GEICO   (Germain Racing),Chevrolet,267,running,0,22,0,Oval
19,Kansas,16,27,34,   Michael McDowell,Dockside Logistics   (Bob Jenkins),Ford,267,running,0,21,0,Oval
19,Kansas,17,14,42,   Matt Kenseth,McDonald's McDelivery   (Chip Ganassi),Chevrolet,267,running,0,20,0,Oval
19,Kansas,18,37,96,   Daniel Suarez,Toyota Certified Used Vehicles   (Gaunt Brothers),Toyota,267,running,0,19,0,Oval
19,Kansas,19,30,38,   John H. Nemechek,Digital Ally Body Cameras   (Bob Jenkins),Ford,266,running,0,18,0,Oval
19,Kansas,20,4,12,   Ryan Blaney,Dex Imaging   (Roger Penske),Ford,266,running,15,33,0,Oval
19,Kansas,21,31,32,   Corey LaJoie,Plan B Sales   (Archie St. Hilaire),Ford,266,running,0,16,0,Oval
