Track, EndPos, StartPos, CarNumber, Driver, Sponsor, Manufacturer, Laps, Led, Pts, PPts
Phoenix,16,30,21, Matt DiBenedetto,Motorcraft / Quick Lane  (Wood Brothers),Ford,266,running,0,24,0
Phoenix,17,5,34, Michael McDowell,Love's Travel Stops / Speedco  (Bob Jenkins),Ford,266,running,9,20,0
Phoenix,18,13,6, Ryan Newman,Wyndham Rewards / Days Inn  (Jack Roush),Ford,266,running,0,19,0
Phoenix,19,7,1, Kurt Busch,Monster Energy  (Chip Ganassi),Chevrolet,266,running,0,18,0
Phoenix,20,1,4, Kevin Harvick,Mobil 1  (Stewart Haas Racing),Ford,266,running,0,17,0
Phoenix,21,24,14, Chase Briscoe,Ford Performance Racing School  (Stewart Haas Racing),Ford,266,running,0,16,0
Phoenix,22,11,8, Tyler Reddick,Quartz Hill Records / Ben Gallaher  (Richard Childress),Chevrolet,266,running,7,15,0
Phoenix,23,21,42, Ross Chastain,Clover  (Chip Ganassi),Chevrolet,266,running,0,14,0
Phoenix,24,27,38, Anthony Alfredo,Speedy Cash  (Bob Jenkins),Ford,266,running,1,13,0
Phoenix,25,20,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,266,running,0,12,0
Phoenix,26,22,99, Daniel Suarez,Camping World  (Trackhouse Racing),Chevrolet,265,running,12,11,0
Phoenix,27,9,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,265,running,0,21,0
Phoenix,28,23,23, Bubba Wallace,Columbia Sportswear  (23XI Racing),Toyota,262,running,0,9,0
Phoenix,29,25,77, Justin Haley,Nations Guard  (Spire Motorsports),Chevrolet,262,running,0,0,0
Phoenix,30,34,78, B.J. McLeod,Surface Sunscreen  (B.J. McLeod),Ford,260,running,0,0,0
Phoenix,31,31,53, Garrett Smithley,Trophy Tractor / Texas Strong  (Rick Ware),Chevrolet,259,running,0,0,0
Phoenix,32,32,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,259,running,0,0,0
Phoenix,33,36,0, Quin Houff,8 Ball Chocolate Whiskey  (StarCom Racing),Chevrolet,256,running,0,4,0
Phoenix,34,37,15, Joey Gase,NV Donor Network  (Rick Ware),Chevrolet,255,running,0,0,0
Phoenix,35,35,52, Josh Bilicki,Dollar Loan Center  (Rick Ware),Ford,252,running,0,2,0
Phoenix,36,38,66, Timmy Hill,LasVegas.net  (Carl Long),Toyota,246,running,0,0,0
Phoenix,37,33,7, Corey LaJoie,Built Bar  (Spire Motorsports),Chevrolet,188,rear end,0,1,0
Phoenix,38,28,10, Aric Almirola,Smithfield Power Bites  (Stewart Haas Racing),Ford,178,crash,0,1,0
Atlanta,1,10,12, Ryan Blaney,Body Armor  (Roger Penske),Ford,325,running,25,57,5
Atlanta,2,6,5, Kyle Larson,Hendrickcars.com  (Rick Hendrick),Chevrolet,325,running,269,55,2
Atlanta,3,14,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,325,running,0,47,0
Atlanta,4,1,11, Denny Hamlin,FedEx Express  (Joe Gibbs),Toyota,325,running,27,41,0
Atlanta,5,19,18, Kyle Busch,M&M's Messages  (Joe Gibbs),Toyota,325,running,0,48,0
Atlanta,6,13,3, Austin Dillon,Bass Pro Shops / Tracker Off Road  (Richard Childress),Chevrolet,325,running,0,35,0
Atlanta,7,17,17, Chris Buescher,Fastenal  (Jack Roush),Ford,325,running,0,35,0
Atlanta,8,9,24, William Byron,Liberty University  (Rick Hendrick),Chevrolet,325,running,2,36,0
Atlanta,9,2,19, Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  (Joe Gibbs),Toyota,325,running,0,32,0
Atlanta,10,7,4, Kevin Harvick,Hunt Brothers Pizza  (Stewart Haas Racing),Ford,325,running,0,27,0
Atlanta,11,20,21, Matt DiBenedetto,Menards / Maytag  (Wood Brothers),Ford,325,running,0,31,0
Atlanta,12,12,47, Ricky Stenhouse Jr,Kroger / Cottonelle / Cheerios  (JTG-Daugherty Racing),Chevrolet,325,running,0,25,0
Atlanta,13,28,6, Ryan Newman,Kohler Generators  (Jack Roush),Ford,325,running,0,24,0
Atlanta,14,21,42, Ross Chastain,Tubi TV  (Chip Ganassi),Chevrolet,325,running,0,23,0
Atlanta,15,3,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,324,running,0,22,0
Atlanta,16,15,23, Bubba Wallace,McDonald's  (23XI Racing),Toyota,324,running,0,21,0
Atlanta,17,25,99, Daniel Suarez,CommScope  (Trackhouse Racing),Chevrolet,324,running,1,21,0
Atlanta,18,27,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,324,running,0,19,0
Atlanta,19,18,34, Michael McDowell,Fr8 Auctions  (Bob Jenkins),Ford,324,running,0,18,0
Atlanta,20,16,10, Aric Almirola,Pit Boss Platinum  (Stewart Haas Racing),Ford,324,running,0,17,0
Atlanta,21,8,20, Christopher Bell,SiriusXM  (Joe Gibbs),Toyota,323,running,0,16,0
Atlanta,22,39,33, Austin Cindric,Pirtek  (Roger Penske),Ford,323,running,0,0,0
Atlanta,23,24,14, Chase Briscoe,HighPoint.com / Co-Op Financial  (Stewart Haas Racing),Ford,323,running,0,14,0
Atlanta,24,22,43, Erik Jones,Petty's Garage  (Richard Petty Motorsports),Chevrolet,323,running,0,13,0
Atlanta,25,23,37, Ryan Preece,Planters  (JTG-Daugherty Racing),Chevrolet,323,running,0,12,0
Atlanta,26,29,8, Tyler Reddick,Alsco Uniforms  (Richard Childress),Chevrolet,323,running,0,11,0
Atlanta,27,32,38, Anthony Alfredo,Georgia Peanuts  (Bob Jenkins),Ford,322,running,0,10,0
Atlanta,28,4,2, Brad Keselowski,Auto Trader  (Roger Penske),Ford,321,running,0,9,0
Atlanta,29,30,7, Corey LaJoie,NFL Alumni / Folds of Honor  (Spire Motorsports),Chevrolet,319,running,0,8,0
Atlanta,30,26,77, Justin Haley,Diamond Creek Water  (Spire Motorsports),Chevrolet,319,running,0,0,0
Atlanta,31,33,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,316,running,0,0,0
Atlanta,32,34,15, James Davison,Smart Sanitizer  (Rick Ware),Chevrolet,316,running,0,5,0
Atlanta,33,35,0, Quin Houff,8 Ball Chocolate Whiskey  (StarCom Racing),Chevrolet,314,running,0,4,0
