Track,Pos,St,#,Driver,Sponsor/Owner,Car,Led,TrackType
Darlington,3,20,4,KevinHarvick,Mobil1(StewartHaasRacing),Ford,10,Oval
Darlington,4,8,2,BradKeselowski,Pirtek(RogerPenske),Ford,7,Oval
Darlington,5,13,20,ErikJones,StanleyTools(JoeGibbs),Toyota,27,Oval
Darlington,6,3,22,JoeyLogano,Shell/Pennzoil(RogerPenske),Ford,19,Oval
Darlington,7,9,10,AricAlmirola,Smithfield#GoodFoodChallenge(StewartHaasRacing),Ford,0,Oval
Darlington,8,37,48,JimmieJohnson,Ally(RickHendrick),Chevrolet,0,Oval
Darlington,9,7,21,MattDiBenedetto,Motorcraft/QuickLane(WoodBrothers),Ford,0,Oval
Darlington,10,15,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs(JoeGibbs),Toyota,16,Oval
Darlington,11,24,95,ChristopherBell,Procore(LeavineFamilyRacing),Toyota,0,Oval
Darlington,12,34,24,WilliamByron,Axalta(RickHendrick),Chevrolet,0,Oval
Darlington,13,14,8,TylerReddick,"Caterpillar""ThankYou""(RichardChildress)",Chevrolet,0,Oval
Darlington,14,6,6,RyanNewman,OscarMayerHotDogs(JackRoush),Ford,5,Oval
Darlington,15,18,1,KurtBusch,MonsterEnergy(ChipGanassi),Chevrolet,0,Oval
Darlington,16,21,43,BubbaWallace,VictoryJunction(RichardPettyMotorsports),Chevrolet,3,Oval
Darlington,17,23,34,MichaelMcDowell,CarParts.com(BobJenkins),Ford,0,Oval
Darlington,18,19,88,AlexBowman,ChevyGoods.com/NOCO(RickHendrick),Chevrolet,0,Oval
Darlington,19,2,13,TyDillon,"GEICO""HumpDay""(GermainRacing)",Chevrolet,8,Oval
Darlington,20,10,3,AustinDillon,Dow/KeepAmericaBeautiful(RichardChildress),Chevrolet,0,Oval
Darlington,21,5,12,RyanBlaney,Menards/Moen(RogerPenske),Ford,0,Oval
Darlington,22,4,14,ClintBowyer,Rush/MobilDelvac1(StewartHaasRacing),Ford,71,Oval
Darlington,23,32,17,ChrisBuescher,FifthThirdBank(JackRoush),Ford,0,Oval
Darlington,24,31,32,CoreyLaJoie,"KeenParts""ThankaHero""(ArchieSt.Hilaire)",Ford,0,Oval
Darlington,25,39,47,RickyStenhouseJr,Kroger/NatureValley/Hershey's(JTG-DaughertyRacing),Chevrolet,0,Oval
Darlington,26,35,0,QuinHouff,GoodGreekMoving&Storage(StarComRacing),Chevrolet,0,Oval
Darlington,27,25,96,DanielSuarez,Today.Tomorrow.Toyota.(GauntBrothers),Toyota,1,Oval
Darlington,28,29,77,J.J.Yeley,BonSecours#TheRealHeroes(SpireMotorsports),Chevrolet,0,Oval
Darlington,29,30,51,JoeyGase,AgriSupply(RickWare),Ford,0,Oval
Darlington,30,11,42,MattKenseth,CreditOneBank(ChipGanassi),Chevrolet,0,Oval
Darlington,31,22,41,ColeCuster,HaasTooling.com(StewartHaasRacing),Ford,0,Oval
Darlington,32,28,27,GrayGaulding,PaniniAmerica(RickWare),Ford,0,Oval
Darlington,33,33,66,TimmyHill,RoofClaim.com(CarlLong),Toyota,0,Oval
Darlington,34,36,53,GarrettSmithley,TrophyTractor(RickWare),Chevrolet,0,Oval
Darlington,35,12,38,JohnH.Nemechek,ScagPowerEquipment(BobJenkins),Ford,0,Oval
Darlington,36,38,78,B.J.McLeod,ChristensenArms(B.J.McLeod),Chevrolet,0,Oval
Darlington,37,27,15,BrennanPoole,SpartanMosquitoProTech(RickWare),Chevrolet,1,Oval
Darlington,38,17,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,28,Oval
Darlington,39,1,37,RyanPreece,NewTidePowerPods(JTG-DaughertyRacing),Chevrolet,0,Oval
Charlotte,1,9,2,BradKeselowski,MillerLiteStars&Stripes(RogerPenske),Ford,21,Oval
Charlotte,2,3,9,ChaseElliott,NAPAAutoParts(RickHendrick),Chevrolet,38,Oval
Charlotte,3,26,12,RyanBlaney,DexImaging(RogerPenske),Ford,0,Oval
Charlotte,4,11,18,KyleBusch,"M&M'sRed,White&Blue(JoeGibbs)",Toyota,0,Oval
Charlotte,5,22,4,KevinHarvick,BuschLight(StewartHaasRacing),Ford,0,Oval
Charlotte,6,8,19,MartinTruexJr,BassProShops/TrackerBoats&ATVs/USO(JoeGibbs),Toyota,87,Oval
Charlotte,7,1,1,KurtBusch,GearWrench(ChipGanassi),Chevrolet,54,Oval
Charlotte,8,5,8,TylerReddick,AlscoUniformsPatriotic(RichardChildress),Chevrolet,0,Oval
Charlotte,9,15,95,ChristopherBell,Rheem/Procore(LeavineFamilyRacing),Toyota,0,Oval
Charlotte,10,19,17,ChrisBuescher,FifthThirdBank(JackRoush),Ford,0,Oval
Charlotte,11,14,20,ErikJones,DeWaltAtomicThankYou(JoeGibbs),Toyota,0,Oval
Charlotte,12,28,41,ColeCuster,HaasTooling.com(StewartHaasRacing),Ford,0,Oval
Charlotte,13,7,22,JoeyLogano,Shell/Pennzoil(RogerPenske),Ford,26,Oval
Charlotte,14,6,3,AustinDillon,"Coca-Cola""SalutetoAmerica'sHeroes""(RichardChildress)",Chevrolet,0,Oval
Charlotte,15,40,10,AricAlmirola,SmithfieldPatriotic(StewartHaasRacing),Ford,0,Oval
Charlotte,16,25,38,JohnH.Nemechek,Yanmar(BobJenkins),Ford,1,Oval
Charlotte,17,33,21,MattDiBenedetto,Menards/FVP(WoodBrothers),Ford,6,Oval
Charlotte,18,27,34,MichaelMcDowell,Love's/SpecialForcesCharitableTrust(BobJenkins),Ford,0,Oval
Charlotte,19,12,88,AlexBowman,ChevyGoods.com/NOCOPatriotic(RickHendrick),Chevrolet,164,Oval
Charlotte,20,10,24,WilliamByron,LibertyUniversityPatriotic(RickHendrick),Chevrolet,0,Oval
Charlotte,21,21,77,RossChastain,"AdventHealth""ThankYouTeamMembers""(SpireMotorsports)",Chevrolet,0,Oval
Charlotte,22,29,37,RyanPreece,ScottProductsPatriotic(JTG-DaughertyRacing),Chevrolet,1,Oval
Charlotte,23,24,32,CoreyLaJoie,ARK.io(ArchieSt.Hilaire),Ford,0,Oval
Charlotte,24,17,47,RickyStenhouseJr,Kroger/Purina/Bush'sBeans(JTG-DaughertyRacing),Chevrolet,1,Oval
